Model,MSE,RMSE,MAE,R²
Linear Regression,33596915.85136148,5796.284659276275,4181.194473753652,0.7835929767120722
Ridge Regression,33645393.49385556,5800.464937731764,4193.19535293527,0.7832807188145148
Lasso Regression,33597789.30009653,5796.360004355883,4181.296901008465,0.7835873505872939
Random Forest,20864569.513376206,4567.775116331386,2543.9758251029275,0.8656055394920775
Gradient Boosting,18745176.47586223,4329.570010504765,2443.483262376879,0.8792571359795264
